Reference, Value, Footprint, Datasheet
"P1","CONN_01X19","Echopen:Header_pin_angled_1x19",""
"C3","10u","Echopen:CP_small_TH_echopen",""
"C4","100n","Echopen:C_small_TH_echopen",""
"P5","CONN_01X04","Echopen:Pin_Header_Straight_1x04",""
"C5","100u","Echopen:CP_small_TH_echopen",""
"C6","100n","Echopen:C_small_TH_echopen",""
"P3","CONN_01X15","Echopen:Pin_Header_Straight_1x15",""
"P4","CONN_01X15","Echopen:Pin_Header_Straight_1x15",""
"P2","CONN_01X09","Echopen:Socket_1x09",""
"C2","10u","Echopen:CP_small_TH_echopen",""
"C1","47n","Echopen:C_small_TH_echopen",""
"U1","SN74LV1T34","TO_SOT_Packages_SMD:SOT-23-5_HandSoldering",""
"U2","SN74LV1T34","TO_SOT_Packages_SMD:SOT-23-5_HandSoldering",""
"U3","SN74LV1T34","TO_SOT_Packages_SMD:SOT-23-5_HandSoldering",""
"U4","SN74LV1T34","TO_SOT_Packages_SMD:SOT-23-5_HandSoldering",""
"U5","SN74LV1T34","TO_SOT_Packages_SMD:SOT-23-5_HandSoldering",""
"U6","ULN2003_0x9","Housings_DIP:DIP-16_W7.62mm_LongPads",""
